id,player,height,weight,college,age,two_points,two_point_percentage,fta,ast,pts,mayor500
1646,Loy Vaught,190,83,University of Louisville,22,183,47%,163,121,501,1
1647,Jayson Williams,190,83,University of Louisville,24,394,46%,342,456,1048,1
1648,Kenny Williams,190,83,University of Louisville,25,191,44%,140,247,482,0
1649,Scott Williams,190,83,University of Louisville,26,316,51%,234,300,805,1
1650,Trevor Wilson,190,83,University of Louisville,27,408,53%,279,345,1048,1
1651,Kennard Winchester,190,83,University of Louisville,28,228,46%,192,218,600,1
1652,Howard Wright,190,83,University of Louisville,28,35,39%,37,45,97,0
1653,Victor Alexander,190,83,University of Louisville,28,193,48%,155,173,503,1
1654,Kenny Anderson,190,83,University of Louisville,29,148,51%,109,144,371,0
1655,Greg Anthony,190,83,University of Louisville,30,308,50%,160,339,745,1
1656,Stacey Augmon,190,83,Mount St. Mary's University,24,157,36%,116,121,394,0
1657,Isaac Austin,190,83,Mount St. Mary's University,25,340,42%,183,165,799,1
1658,Steve Bardo,190,83,Mount St. Mary's University,26,446,44%,293,211,1074,1
1659,David Benoit,190,83,Mount St. Mary's University,26,6,22%,9,12,15,0
1660,Terrell Brandon,190,83,Mount St. Mary's University,26,440,44%,284,199,1059,1
1661,Kevin Brooks,190,83,Mount St. Mary's University,27,679,42%,368,349,1617,1
1662,Randy Brown,190,83,Mount St. Mary's University,28,706,43%,358,443,1666,1
1663,Demetrius Calip,190,83,Mount St. Mary's University,29,715,45%,347,336,1686,1
1664,Pete Chilcutt,190,83,Mount St. Mary's University,30,665,42%,312,372,1549,1
1665,Marty Conlon,190,83,Mount St. Mary's University,31,209,42%,96,125,486,0
1666,Tom Copa,190,83,Mount St. Mary's University,31,43,43%,19,21,96,0
1667,Chris Corchiani,190,83,Mount St. Mary's University,31,166,42%,77,104,390,0
1668,Corey Crowder,198,88,Norfolk State University,22,434,49%,264,292,1067,1
1669,Dale Davis,198,88,Norfolk State University,23,594,51%,376,277,1452,1
1670,Bison Dele,198,88,Norfolk State University,24,630,50%,291,249,1475,1
1671,LeRon Ellis,198,88,Norfolk State University,25,638,47%,251,207,1474,1
1672,Rick Fox,198,88,Norfolk State University,26,583,50%,214,201,1341,1
1673,Chris Gatling,198,88,Norfolk State University,27,691,47%,262,243,1593,1
1674,Paul Graham,198,88,Norfolk State University,28,650,50%,329,206,1571,1
1675,Sean Green,198,88,Norfolk State University,29,585,47%,367,268,1453,1
1676,Carl Herrera,198,88,Norfolk State University,30,560,47%,419,287,1450,1
1677,Donald Hodge,198,88,Norfolk State University,31,629,50%,401,365,1589,1
1678,Brian Howard,198,88,Norfolk State University,32,327,46%,152,178,783,1
1679,Mike Iuzzolino,198,88,Norfolk State University,33,101,43%,39,60,230,0
1680,Rich King,198,88,Norfolk State University,34,21,38%,17,13,52,0
1681,Doug Lee,190,83,Virginia Union University,23,260,44%,192,111,669,1
1682,Luc Longley,190,83,Virginia Union University,24,317,41%,262,153,833,1
1683,Kevin Lynch,190,83,Virginia Union University,25,213,43%,180,82,564,1
1684,Mark Macon,190,83,Virginia Union University,26,50,42%,25,19,123,0
1685,Tharon Mayes,190,83,Virginia Union University,26,4,40%,10,0,14,0
1686,Rodney Monroe,190,86,Purdue University,23,179,41%,91,178,426,0
1687,Tracy Moore,190,86,Purdue University,24,378,42%,189,291,898,1
1688,Eric Murdock,190,86,Purdue University,25,345,45%,173,377,835,1
1689,Dikembe Mutombo*,190,86,Purdue University,26,471,47%,150,482,1065,1
1690,Jimmy Oliver,190,86,Purdue University,27,384,45%,134,355,874,1
1691,Billy Owens,190,86,Purdue University,28,314,43%,113,170,722,1
1692,Keith Owens,190,86,Purdue University,29,299,44%,116,202,688,1
1693,Robert Pack,190,86,Purdue University,30,326,44%,120,170,744,1
1694,Elliot Perry,201,95,Morehead State University,22,101,43%,70,17,243,0
1695,Bobby Phills,201,95,Morehead State University,23,167,45%,106,53,398,0
1696,Mark Randall,201,95,Morehead State University,24,133,45%,90,45,332,0
1697,Stanley Roberts,201,95,Morehead State University,25,224,43%,118,89,537,1
1698,LaBradford Smith,201,95,Morehead State University,26,129,41%,68,43,296,0
1699,Steve Smith,201,95,Morehead State University,27,24,34%,20,16,57,0
1700,Larry Stewart,203,95,University of Iowa,27,709,49%,741,391,1995,1
1701,Derek Strong,203,95,University of Iowa,28,512,43%,560,322,1481,1
1702,Lamont Strothers,203,95,University of Iowa,29,571,46%,565,296,1598,1
1703,Greg Sutton,203,95,University of Iowa,30,441,48%,404,304,1204,1
1704,Carl Thomas,203,95,University of Iowa,31,404,50%,251,407,999,1
1705,Charles Thomas,203,95,University of Iowa,31,36,49%,27,28,90,0
1706,Stephen Thompson,203,95,University of Iowa,31,368,50%,224,379,909,1
1707,John Turner,203,95,University of Iowa,32,139,43%,99,120,346,0
1708,Eric Anderson,203,95,University of Iowa,33,237,45%,191,212,610,1
1709,Anthony Avent,203,97,Bradley University,22,130,39%,92,29,324,0
1710,Jon Barry,203,97,Bradley University,23,313,42%,183,78,759,1
1711,Tony Bennett,203,97,Bradley University,24,185,42%,102,46,450,0
1712,Alex Blackwell,203,97,Bradley University,25,140,40%,84,26,345,0
1713,Walter Bond,203,97,Bradley University,26,157,43%,111,38,400,0
1714,Dexter Cambridge,203,97,Bradley University,27,62,39%,56,35,168,0
1715,Doug Christie,203,97,Bradley University,28,135,46%,79,47,341,0
1716,Duane Cooper,203,97,Bradley University,28,7,41%,3,3,17,0
1717,Joe Courtney,203,97,Bradley University,28,128,47%,76,44,324,0
1718,John Crotty,203,97,Bradley University,29,131,42%,83,39,325,0
1719,Lloyd Daniels,201,97,"University of California, Los Angeles",24,44,33%,48,30,119,0
1720,Hubert Davis,201,97,"University of California, Los Angeles",25,2,29%,3,1,7,0
1721,Todd Day,190,79,Drake University,23,132,38%,60,93,307,0
1722,Pat Durham,190,79,Drake University,24,247,42%,77,126,540,1
1723,LaPhonso Ellis,190,79,Drake University,25,103,40%,55,85,243,0
1724,Matt Geiger,201,97,University of Toledo,22,48,48%,39,15,119,0
1725,Litterial Green,201,97,University of Toledo,23,111,45%,89,34,290,0
1726,Tom Gugliotta,201,97,University of Toledo,24,15,32%,12,4,37,0
1727,Jay Guidinger,201,97,University of Toledo,26,495,48%,288,152,1218,1
1728,Robert Horry,201,97,University of Toledo,27,280,48%,205,99,719,1
1729,Byron Houston,201,97,University of Toledo,28,421,50%,351,216,1129,1
1730,Stephen Howard,201,97,University of Toledo,29,288,52%,263,152,791,1
1731,Jim Jackson,201,97,University of Toledo,30,291,52%,220,174,757,1
1732,Keith Jennings,201,97,University of Toledo,31,265,54%,201,121,691,1
1733,Dave Johnson,201,97,University of Toledo,32,359,52%,249,149,937,1
1734,Thomas Jordan,201,97,University of Toledo,33,288,50%,240,114,776,1
1735,Adam Keefe,201,97,University of Toledo,34,201,51%,172,93,541,1
1736,Christian Laettner,201,97,University of Toledo,35,136,49%,88,70,350,0
1737,Sam Mack,201,97,University of Toledo,35,132,49%,87,68,341,0
1738,Don MacLean,201,97,University of Toledo,35,4,40%,1,2,9,0
1739,Marlon Maxey,196,92,Manhattan College,21,21,35%,19,10,50,0
1740,Lee Mayberry,198,97,Santa Clara University,23,82,48%,39,31,191,0
1741,Oliver Miller,198,97,Santa Clara University,24,24,36%,26,17,66,0
1742,Harold Miner,196,90,Creighton University,22,177,45%,85,28,420,0
1743,Isaiah Morris,196,90,Creighton University,23,221,46%,106,67,519,1
1744,Alonzo Mourning*,196,90,Creighton University,24,89,40%,60,26,231,0
1745,Tracy Murray,196,90,Creighton University,25,32,46%,26,7,84,0
1746,Melvin Newbern,208,99,Xavier University,23,190,45%,195,56,504,1
1747,Shaquille O'Neal*,208,99,Xavier University,24,219,47%,190,66,559,1
1748,Matt Othick,208,99,Xavier University,25,103,43%,88,21,256,0
1749,Doug Overton,208,99,Xavier University,25,11,44%,4,3,23,0
1750,Anthony Peeler,208,99,Xavier University,25,92,43%,84,18,233,0
1751,Brent Price,208,99,Xavier University,27,5,39%,11,0,18,0
1752,Anthony Pullard,206,104,University of Cincinnati,22,262,45%,212,92,644,1
1753,Sean Rooks,206,104,University of Cincinnati,23,125,42%,143,47,338,0
1754,Malik Sealy,206,104,University of Cincinnati,24,304,44%,366,109,823,1
1755,Chris Smith,206,104,University of Cincinnati,25,307,43%,290,134,781,1
1756,Reggie Smith,206,104,University of Cincinnati,26,364,46%,316,133,933,1
1757,Andre Spencer,206,104,University of Cincinnati,27,48,44%,40,23,119,0
1758,Elmore Spencer,206,104,University of Cincinnati,28,73,41%,103,53,188,0
1759,Latrell Sprewell,208,99,University of Florida,21,257,47%,242,80,669,1
1760,Bryant Stith,208,99,University of Florida,22,426,45%,268,117,1057,1
1761,Clarence Weatherspoon,208,99,University of Florida,23,506,48%,344,151,1268,1
1762,Marcus Webb,208,99,University of Florida,24,678,47%,355,287,1635,1
1763,Robert Werdann,208,99,University of Florida,25,573,46%,297,331,1381,1
1764,Corey Williams,208,99,University of Florida,26,198,42%,105,123,482,0
1765,Lorenzo Williams,208,99,University of Florida,26,151,42%,80,101,366,0
1766,Randy Woods,208,99,University of Florida,26,47,41%,25,22,116,0
1767,Gary Alexander,208,99,University of Florida,27,262,43%,99,119,603,1
1768,Vin Baker,208,99,University of Florida,28,28,49%,7,6,62,0
1769,Corie Blount,190,81,St. John's University,22,44,41%,35,30,112,0
1770,Shawn Bradley,190,81,St. John's University,23,380,42%,217,347,940,1
1771,Evers Burns,190,81,St. John's University,24,144,42%,58,91,337,0
1772,Scott Burrell,190,81,St. John's University,25,54,49%,19,34,126,0
1773,Mitchell Butler,190,81,St. John's University,26,132,45%,41,62,299,0
1774,Sam Cassell,190,79,La Salle University,24,251,39%,122,165,598,1
1775,Calbert Cheaney,190,79,La Salle University,25,112,33%,81,113,292,0
1776,Michael Curry,188,78,University of North Texas,22,138,48%,116,102,363,0
1777,Antonio Davis,188,78,University of North Texas,23,334,47%,244,225,830,1
1778,Brian Davis,188,78,University of North Texas,24,343,50%,262,290,861,1
1779,Terry Dehere,188,78,University of North Texas,25,143,43%,108,186,348,0
1780,Dell Demps,188,78,University of North Texas,26,37,35%,52,47,107,0
1781,Acie Earl,188,78,University of North Texas,27,164,53%,68,134,377,0
1782,Bill Edwards,188,78,University of North Texas,28,32,49%,14,19,73,0
1783,Doug Edwards,198,95,Northwestern University,23,391,41%,212,173,937,1
1784,Harold Ellis,198,95,Northwestern University,24,313,39%,275,140,831,1
1785,Alphonso Ford,198,95,Northwestern University,24,6,32%,2,3,13,0
1786,Andrew Gaze,198,95,Northwestern University,24,307,39%,273,137,818,1
1787,Ricky Grace,198,95,Northwestern University,25,265,39%,184,117,675,1
1788,Greg Graham,198,95,Northwestern University,25,8,21%,8,5,23,0
1789,Josh Grant,198,95,Northwestern University,25,257,40%,176,112,652,1
1790,Geert Hammink,198,95,Northwestern University,26,303,41%,201,141,759,1
1791,Anfernee Hardaway,198,95,Northwestern University,27,127,40%,78,75,299,0
1792,Lucious Harris,198,95,Northwestern University,28,67,39%,57,73,174,0
1793,Antonio Harvey,198,95,Northwestern University,29,216,41%,173,150,561,1
1794,Scott Haskin,185,68,University of Texas at El Paso,22,486,44%,444,450,1308,1
1795,Skeeter Henry,185,68,University of Texas at El Paso,23,734,49%,824,701,2145,1
1796,Allan Houston,185,68,University of Texas at El Paso,24,1028,49%,783,910,2719,1
1797,Lindsey Hunter,185,68,University of Texas at El Paso,25,222,45%,211,266,617,1
1798,Bobby Hurley,185,68,University of Texas at El Paso,26,759,46%,748,557,2170,1
1799,Stanley Jackson,185,68,University of Texas at El Paso,27,717,45%,625,615,1935,1
1800,Chris Jent,185,68,University of Texas at El Paso,28,250,45%,251,254,697,1
1801,Ervin Johnson,185,68,University of Texas at El Paso,30,259,45%,307,324,760,1
1802,Popeye Jones,185,68,University of Texas at El Paso,31,379,49%,435,671,1131,1
1803,Adonis Jordan,185,68,University of Texas at El Paso,32,382,51%,419,618,1106,1
1804,Reggie Jordan,185,68,University of Texas at El Paso,33,302,48%,316,541,858,1
1805,Warren Kidd,185,68,University of Texas at El Paso,34,230,44%,296,409,695,1
1806,Chris King,185,68,University of Texas at El Paso,35,132,51%,101,160,340,0
1807,George Lynch,196,92,University of Notre Dame,23,128,46%,52,24,301,0
1808,Malcolm Mackey,208,106,Santa Clara University,22,200,48%,157,89,504,1
1809,Gerald Madkins,208,106,Santa Clara University,23,98,44%,76,51,245,0
1810,Bob Martin,208,106,Santa Clara University,24,146,48%,153,224,378,0
1811,Jamal Mashburn,208,106,Santa Clara University,24,3,43%,4,2,7,0
1812,Darnell Mee,208,106,Santa Clara University,24,143,48%,149,222,371,0
1813,Chris Mills,208,106,Santa Clara University,25,65,53%,94,86,184,0
1814,Darren Morningstar,208,106,Santa Clara University,26,339,47%,195,342,810,1
1815,Bo Outlaw,208,106,Santa Clara University,27,142,47%,109,159,359,0
1816,Mike Peplowski,208,106,Santa Clara University,28,160,43%,126,182,411,0
1817,Richard Petruska,208,106,Santa Clara University,29,112,42%,109,163,293,0
1818,Isaiah Rider,208,106,Santa Clara University,30,44,41%,56,69,129,0
1819,Eric Riley,208,106,Santa Clara University,30,17,39%,20,20,50,0
1820,James Robinson,208,106,Santa Clara University,30,27,43%,36,49,79,0
1821,Rodney Rogers,208,106,Santa Clara University,31,27,45%,50,40,86,0
1822,Bryon Russell,208,106,Santa Clara University,32,44,47%,20,54,102,0
1823,Kevin Thompson,208,106,Santa Clara University,33,5,33%,9,8,15,0
1824,Keith Tower,206,104,Florida State University,22,550,42%,373,228,1373,1
1825,Rex Walters,206,104,Florida State University,23,657,48%,243,245,1489,1
1826,Chris Webber,206,104,Florida State University,24,740,45%,262,333,1684,1
1827,Matt Wenstrom,206,104,Florida State University,25,645,44%,274,354,1518,1
1828,David Wesley,206,104,Florida State University,26,569,48%,244,296,1329,1
1829,Chris Whitney,206,104,Florida State University,27,611,47%,340,325,1479,1
1830,Aaron Williams,206,104,Florida State University,28,328,43%,198,248,818,1
1831,Luther Wright,206,104,Florida State University,29,598,49%,284,351,1435,1
1832,Derrick Alston,206,104,Florida State University,30,488,48%,187,242,1127,1
1833,Darrell Armstrong,206,104,Florida State University,31,421,46%,122,206,940,1
1834,Elmer Bennett,206,104,Florida State University,34,136,45%,63,82,324,0
1835,James Blackwell,201,97,Boston College,23,132,42%,154,54,372,0
1836,Tim Breaux,201,97,Boston College,24,40,39%,39,23,107,0
1837,Chris Childs,201,97,Boston College,25,140,43%,62,55,323,0
1838,Bill Curley,201,97,Boston College,25,140,43%,62,55,323,0
1839,Yinka Dare,201,97,Boston College,26,88,47%,46,54,206,0
1840,Tony Dumas,201,97,Boston College,27,3,23%,2,3,7,0
1841,Howard Eisley,193,83,University of Rhode Island,24,11,26%,7,6,27,0
1842,Matt Fish,216,108,Cheyney University of Pennsylvania,23,45,44%,27,17,103,0
1843,Brian Grant,216,108,Cheyney University of Pennsylvania,24,7,26%,3,3,15,0
1844,Darrin Hancock,203,102,University of Detroit Mercy,21,260,45%,218,48,680,1
1845,Jerome Harmon,203,102,University of Detroit Mercy,22,717,46%,586,148,1914,1
1846,Grant Hill,203,102,University of Detroit Mercy,23,889,48%,564,196,2251,1
1847,Juwan Howard,203,102,University of Detroit Mercy,24,694,46%,458,240,1761,1
1848,Askia Jones,203,102,University of Detroit Mercy,25,608,46%,381,137,1525,1
1849,Eddie Jones,203,102,University of Detroit Mercy,26,605,45%,448,92,1549,1
1850,Jason Kidd,203,102,University of Detroit Mercy,27,202,45%,131,50,513,1
1851,Antonio Lang,203,102,University of Detroit Mercy,28,412,48%,135,126,920,1
1852,Ryan Lorthridge,203,102,University of Detroit Mercy,29,595,49%,292,127,1421,1
1853,Donyell Marshall,203,102,University of Detroit Mercy,29,249,49%,146,56,605,1
1854,Darrick Martin,203,102,University of Detroit Mercy,29,346,50%,146,71,816,1
1855,Jim McIlvaine,203,102,University of Detroit Mercy,30,287,49%,206,93,736,1
1856,Aaron McKie,203,102,University of Detroit Mercy,32,395,48%,260,64,1009,1
1857,Anthony Miller,203,102,University of Detroit Mercy,33,125,40%,87,30,313,0
1858,Greg Minor,198,99,University of Oklahoma,22,152,38%,125,45,386,0
1859,Eric Mobley,198,99,University of Oklahoma,23,190,40%,128,55,459,0
1860,Eric Montross,198,99,University of Oklahoma,24,350,43%,178,60,816,1
1861,Dwayne Morton,198,99,University of Oklahoma,24,4,44%,1,2,9,0
1862,Lamond Murray,198,99,University of Oklahoma,24,346,43%,177,58,807,1
1863,Ivano Newbill,198,99,University of Oklahoma,25,524,44%,294,180,1239,1
1864,Julius Nwosu,198,99,University of Oklahoma,26,318,39%,188,190,742,1
1865,Wesley Person,198,99,University of Oklahoma,27,392,44%,248,190,942,1
1866,Derrick Phelps,198,99,University of Oklahoma,27,207,42%,135,126,496,0
1867,Eric Piatkowski,198,99,University of Oklahoma,27,185,45%,113,64,446,0
1868,Eldridge Recasner,198,99,University of Oklahoma,28,173,38%,138,89,446,0
1869,Khalid Reeves,198,99,University of Oklahoma,29,265,42%,147,132,620,1
1870,Glenn Robinson,198,99,University of Oklahoma,30,162,44%,103,60,395,0
1871,Carlos Rogers,198,99,University of Oklahoma,31,171,42%,86,97,406,0
1872,Jalen Rose,198,99,University of Oklahoma,32,149,38%,101,122,377,0
1873,Clifford Rozier,206,97,University of New Mexico,23,68,39%,58,26,173,0
1874,Trevor Ruffin,206,97,University of New Mexico,24,50,38%,51,27,139,0
1875,Dickey Simpkins,206,104,Princeton University,22,339,44%,405,163,913,1
1876,Reggie Slater,206,104,Princeton University,23,113,39%,124,72,284,0
1877,Mark Strickland,206,104,Princeton University,24,206,44%,205,138,527,1
1878,Aaron Swinson,206,104,Princeton University,25,144,47%,124,107,347,0
1879,Brooks Thompson,206,104,Princeton University,25,23,50%,28,13,60,0
1880,Anthony Tucker,206,104,Princeton University,25,121,47%,96,94,287,0
1881,Fred Vinson,206,104,Princeton University,26,41,38%,51,38,96,0
1882,Charlie Ward,206,104,Princeton University,27,32,48%,41,25,81,0
1883,Jamie Watson,211,111,Stephen F. Austin State University,23,41,41%,30,10,93,0
1884,Monty Williams,211,111,Stephen F. Austin State University,25,20,51%,4,3,43,0
1885,Dontonio Wingfield,211,111,Stephen F. Austin State University,24,41,41%,17,8,89,0
1886,Sharone Wright,211,111,Stephen F. Austin State University,26,23,45%,17,9,54,0
1887,Cory Alexander,211,111,Stephen F. Austin State University,25,173,48%,107,73,405,0
1888,Jerome Allen,211,111,Stephen F. Austin State University,26,152,48%,91,67,364,0
1889,John Amaechi,211,111,Stephen F. Austin State University,27,165,48%,104,82,400,0
1890,Ashraf Amaya,211,111,Stephen F. Austin State University,28,198,46%,98,104,467,0
1891,Brent Barry,211,111,Stephen F. Austin State University,28,73,49%,31,26,171,0
1892,Corey Beck,211,111,Stephen F. Austin State University,28,125,45%,67,78,296,0
1893,Mario Bennett,211,111,Stephen F. Austin State University,29,285,40%,185,111,703,1
1894,Travis Best,211,111,Stephen F. Austin State University,30,206,43%,138,88,517,1
1895,Melvin Booker,211,111,Stephen F. Austin State University,22,165,48%,117,81,414,0
1896,Donnie Boyce,211,111,Stephen F. Austin State University,31,248,46%,126,173,585,1
1897,Marques Bragg,211,111,Stephen F. Austin State University,23,307,48%,189,157,768,1
1898,Junior Burrough,211,111,Stephen F. Austin State University,32,164,47%,109,92,408,0
1899,Jason Caffey,211,111,Stephen F. Austin State University,24,182,47%,122,86,457,0
1900,Chris Carr,211,111,Stephen F. Austin State University,33,91,47%,64,79,225,0
1901,Randolph Childress,211,111,Stephen F. Austin State University,25,120,42%,80,40,300,0
1902,Charles Claxton,211,111,Stephen F. Austin State University,34,25,44%,19,17,64,0
1903,John Coker,211,111,Stephen F. Austin State University,26,402,49%,172,220,951,1
1904,Andrew DeClercq,211,111,Stephen F. Austin State University,27,400,48%,270,195,1056,1
1905,Tyus Edney,211,111,Stephen F. Austin State University,36,41,53%,27,22,107,0
1906,Michael Finley,211,111,Stephen F. Austin State University,28,106,42%,56,38,264,0
1907,Sherell Ford,211,111,Stephen F. Austin State University,37,12,52%,16,13,35,0
1908,Anthony Goldwire,211,111,Stephen F. Austin State University,29,1,33%,2,0,4,0
1909,Thomas Hamilton,201,90,University of Iowa,23,435,42%,298,323,1110,1
1910,Alvin Heggs,201,90,University of Iowa,24,557,43%,353,415,1391,1
1911,Alan Henderson,201,90,University of Iowa,25,492,43%,271,309,1183,1
1912,Fred Hoiberg,201,90,University of Iowa,26,459,46%,261,284,1130,1
1913,Darryl Johnson,201,90,University of Iowa,27,527,49%,301,240,1290,1
1914,Frankie King,201,90,University of Iowa,28,316,45%,155,217,752,1
1915,Jimmy King,201,90,University of Iowa,28,41,47%,27,20,105,0
1916,Voshon Lenard,201,90,University of Iowa,28,275,45%,128,197,647,1
1917,Martin Lewis,201,90,University of Iowa,29,319,46%,132,163,732,1
1918,Rich Manning,201,90,University of Iowa,30,342,42%,177,211,817,1
1919,Donny Marshall,201,90,University of Iowa,30,1,25%,3,1,4,0
1920,Cuonzo Martin,201,90,University of Iowa,30,341,42%,174,210,813,1
1921,Clint McDaniel,201,90,University of Iowa,31,356,43%,250,358,902,1
1922,Antonio McDyess,201,90,University of Iowa,32,377,49%,201,424,915,1
1923,Loren Meyer,201,90,University of Iowa,33,373,43%,214,312,919,1
1924,Lawrence Moten,201,90,University of Iowa,34,22,49%,20,29,59,0
1925,Todd Mundt,208,106,New Mexico State University,22,467,42%,227,117,1090,1
1926,Howard Nathan,208,106,New Mexico State University,23,410,42%,169,173,939,1
1927,Ed O'Bannon,208,106,New Mexico State University,24,471,47%,178,189,1068,1
1928,Greg Ostertag,208,106,New Mexico State University,25,467,48%,247,299,1119,1
1929,Theo Ratliff,208,106,New Mexico State University,26,392,43%,191,428,928,1
1930,Bryant Reeves,208,106,New Mexico State University,27,409,40%,286,378,1035,1
1931,Don Reid,208,106,New Mexico State University,28,327,42%,282,386,869,1
1932,Terrence Rencher,208,106,New Mexico State University,29,265,45%,187,300,664,1
1933,Shawn Respert,208,106,New Mexico State University,30,350,50%,226,430,867,1
1934,Lou Roe,208,106,New Mexico State University,31,303,45%,185,460,743,1
1935,Joe Smith,208,106,New Mexico State University,32,236,44%,117,399,567,1
1936,Eric Snow,208,106,New Mexico State University,33,67,44%,37,77,161,0
1937,Jerry Stackhouse,208,106,New Mexico State University,33,3,60%,2,4,6,0
1938,Damon Stoudamire,208,106,New Mexico State University,33,64,43%,35,73,155,0
1939,Bob Sura,208,106,New Mexico State University,34,109,43%,37,118,253,0
1940,Kurt Thomas,211,113,St. Bonaventure University,22,504,46%,376,146,1281,1
1941,Gary Trent,211,113,St. Bonaventure University,23,834,49%,505,248,2056,1
1942,Logan Vander,211,113,St. Bonaventure University,24,810,49%,397,260,1927,1
1943,David Vaughn,211,113,St. Bonaventure University,25,748,50%,409,343,1822,1
1944,Rasheed Wallace,211,113,St. Bonaventure University,26,731,51%,450,350,1823,1
1945,Dwayne Whitfield,211,113,St. Bonaventure University,27,541,53%,370,217,1366,1
1946,Eric Williams,211,113,St. Bonaventure University,28,678,53%,318,214,1616,1
1947,Corliss Williamson,211,113,St. Bonaventure University,29,622,54%,386,216,1542,1
1948,George Zidek,211,113,St. Bonaventure University,30,489,52%,367,140,1253,1
1949,Shareef Abdur-Rahim,211,113,St. Bonaventure University,31,465,54%,354,184,1210,1
1950,Ray Allen,211,113,St. Bonaventure University,31,319,55%,210,122,802,1
1951,Shandon Anderson,211,113,St. Bonaventure University,31,146,52%,144,62,408,0
1952,Dexter Boney,211,113,St. Bonaventure University,32,375,52%,277,179,961,1
1953,Bruce Bowen,211,113,St. Bonaventure University,33,407,56%,242,219,996,1
1954,Marcus Brown,211,113,St. Bonaventure University,34,163,49%,133,105,417,0
1955,Marcus Camby,211,113,St. Bonaventure University,35,392,58%,274,186,978,1
1956,Jimmy Carruth,196,89,Louisiana State University,23,738,46%,505,355,1880,1
1957,Erick Dampier,196,89,Louisiana State University,24,460,43%,438,393,1275,1
1958,Ben Davis,196,89,Louisiana State University,25,789,44%,606,546,2063,1
1959,Emanual Davis,196,89,Louisiana State University,26,819,46%,568,396,2107,1
1960,Tony Delk,196,89,Louisiana State University,27,655,42%,481,488,1700,1
1961,Nate Driggers,196,89,Louisiana State University,28,604,46%,488,332,1604,1
1962,Brian Evans,196,89,Louisiana State University,29,886,43%,600,392,2273,1
1963,Jamie Feick,196,89,Louisiana State University,30,556,44%,276,335,1352,1
1964,Derek Fisher,196,89,Louisiana State University,31,436,42%,277,243,1105,1
1965,Todd Fuller,196,89,Louisiana State University,32,234,44%,105,83,589,1
1966,Dean Garrett,196,89,Louisiana State University,32,114,40%,50,54,290,0
1967,Reggie Geary,196,89,Louisiana State University,32,120,49%,55,29,299,0
1968,Devin Gray,206,99,Temple University,22,25,38%,20,4,61,0
1969,Evric Gray,206,99,Temple University,23,39,35%,41,10,103,0
1970,Darvin Ham,206,99,Temple University,24,50,42%,30,37,119,0
1971,Steve Hamer,196,97,Columbia University,22,289,46%,130,133,678,1
1972,Othella Harrington,196,97,Columbia University,23,642,48%,277,209,1503,1
1973,Michael Hawkins,196,97,Columbia University,24,655,46%,264,221,1533,1
1974,Mark Hendrickson,196,97,Columbia University,25,600,49%,379,256,1525,1
1975,Allen Iverson*,196,97,Columbia University,26,347,50%,231,156,888,1
1976,Kerry Kittles,196,97,Columbia University,27,492,54%,219,205,1172,1
1977,Travis Knight,196,97,Columbia University,28,298,46%,86,139,663,1
1978,Priest Lauderdale,196,97,Columbia University,29,288,46%,134,205,691,1
1979,Randy Livingston,196,97,Columbia University,30,33,45%,21,33,83,0
1980,Horacio Llamas,196,86,Jacksonville University,22,41,40%,54,22,117,0
1981,Matt Maloney,196,86,Jacksonville University,23,16,32%,31,17,55,0
1982,Stephon Marbury,175,74,Niagara University,22,471,46%,434,329,1298,1
1983,Walter McCarty,175,74,Niagara University,23,571,46%,392,393,1491,1
1984,Amal McCaskill,175,74,Niagara University,24,381,47%,269,262,1001,1
1985,Jeff McInnis,175,74,Niagara University,25,671,52%,357,603,1652,1
1986,Steve Nash,175,74,Niagara University,26,557,48%,386,381,1455,1
1987,Ruben Nembhard,175,74,Niagara University,27,675,49%,410,596,1722,1
1988,Gaylon Nickerson,175,74,Niagara University,28,596,49%,307,386,1464,1
1989,Moochie Norris,175,74,Niagara University,29,852,49%,267,259,1949,1
1990,Ray Owes,175,74,Niagara University,30,707,50%,265,351,1660,1
1991,Vitaly Potapenko,175,74,Niagara University,31,623,50%,302,299,1520,1
1992,Chris Robinson,175,74,Niagara University,32,524,50%,215,222,1266,1
1993,Roy Rogers,175,74,Niagara University,33,276,44%,110,163,655,1
1994,Malik Rose,175,74,Niagara University,34,333,45%,150,158,816,1
1995,Kevin Salvadori,201,99,Missouri State University,22,21,44%,20,5,53,0
1996,Jason Sasser,201,99,Missouri State University,23,181,37%,119,100,438,0
1997,Brent Scott,201,99,Missouri State University,23,38,33%,24,22,88,0
1998,James Scott,201,99,Missouri State University,23,143,39%,95,78,350,0
1999,Shawnelle Scott,201,99,Missouri State University,24,265,46%,126,123,613,1
2000,Stevin Smith,201,99,Missouri State University,25,325,45%,134,183,728,1
2001,Matt Steigenga,201,99,Missouri State University,26,437,48%,256,186,1058,1
2002,Joe Stephens,201,99,Missouri State University,27,386,50%,239,182,947,1
2003,Erick Strickland,201,99,Missouri State University,28,179,43%,142,79,470,0
2004,Brett Szabo,201,99,Missouri State University,29,110,45%,65,48,271,0
2005,Antoine Walker,193,86,Princeton University,22,784,44%,600,390,2031,1
2006,Samaki Walker,193,86,Princeton University,23,465,42%,256,248,1132,1
2007,Ben Wallace,193,86,Princeton University,24,836,46%,383,350,1970,1
2008,John Wallace,193,86,Princeton University,25,740,48%,341,315,1771,1
